No,Periode,Tahun,Data Inflasi
1,Maret,2024,3.05
2,Februari,2024,2.75
3,Januari,2024,2.57
4,Desember,2023,2.61
5,November,2023,2.86
6,Oktober,2023,2.56
7,September,2023,2.28
8,Agustus,2023,3.27
9,Juli,2023,3.08
10,Juni,2023,3.52
11,Mei,2023,4
12,April,2023,4.33
13,Maret,2023,4.97
14,Februari,2023,5.47
15,Januari,2023,5.28
16,Desember,2022,5.51
17,November,2022,5.42
18,Oktober,2022,5.71
19,September,2022,5.95
20,Agustus,2022,4.69
21,Juli,2022,4.94
22,Juni,2022,4.35
23,Mei,2022,3.55
24,April,2022,3.47
25,Maret,2022,2.64
26,Februari,2022,2.06
27,Januari,2022,2.18
28,Desember,2021,1.87
29,November,2021,1.75
30,Oktober,2021,1.66
31,September,2021,1.6
32,Agustus,2021,1.59
33,Juli,2021,1.52
34,Juni,2021,1.33
35,Mei,2021,1.68
36,April,2021,1.42
37,Maret,2021,1.37
38,Februari,2021,1.38
39,Januari,2021,1.55
40,Desember,2020,1.68
41,November,2020,1.59
42,Oktober,2020,1.44
43,September,2020,1.42
44,Agustus,2020,1.32
45,Juli,2020,1.54
46,Juni,2020,1.96
47,Mei,2020,2.19
48,April,2020,2.67
49,Maret,2020,2.96
50,Februari,2020,2.98
51,Januari,2020,2.68
